Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Type
Hoot,1,Bangalore,"BBMP 2034/69, Block 2, Kaikondrahalli, Varthur Hobli, Sarjapur Road, Bangalore",Sarjapur Road,"Sarjapur Road, Bangalore",77.6784,12.914264,"Continental, Italian, North Indian",1400,Indian Rupees(Rs.),No,No,No,No,3,3.9,Yellow,Good,405,Resturant
Farzi Cafe,1,Bangalore,"202, Level 2, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",UB City,"UB City, Bangalore",77.5960137,12.9721612,Modern Indian,1500,Indian Rupees(Rs.),No,No,No,No,3,4.4,Green,Very Good,754,Resturant
,,,,,,12.9766,77.5993,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9551,77.6593,,,,,,,,,,,,,Person
,,,,,,12.9473,77.5616,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,12.9299,77.6848,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9828,77.6131,,,,,,,,,,,,,Person
,,,,,,12.9766,77.5993,,,,,,,,,,,,,Person
,,,,,,12.9854,77.7081,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.8988,77.5764,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9438,77.5738,,,,,,,,,,,,,Person
,,,,,,12.8893,77.6399,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,12.982,77.6256,,,,,,,,,,,,,Person
,,,,,,12.8988,77.5764,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,13.0298,77.6047,,,,,,,,,,,,,Person
,,,,,,12.9983,77.6409,,,,,,,,,,,,,Person
,,,,,,12.9925,77.5633,,,,,,,,,,,,,Person
