Type,latitude,longitude,Resturantatings
CustomeResturant,13.0166,77.6804,2
CustomeResturant,13.014,77.5658,2
CustomeResturant,13.014,77.5658,2
CustomeResturant,13.0503,77.5529,2
CustomeResturant,13.0503,77.5529,2
CustomeResturant,12.9883,77.5987,2
CustomeResturant,13.0626,77.5284,2
CustomeResturant,13.0626,77.5284,2
CustomeResturant,13.0626,77.5284,2
CustomeResturant,13.0166,77.6804,2
CustomeResturant,13.0166,77.6804,2
CustomeResturant,12.9551,77.6593,2
CustomeResturant,12.9551,77.6593,2
CustomeResturant,12.9551,77.6593,2
CustomeResturant,12.957,77.5637,2
CustomeResturant,12.957,77.5637,2
CustomeResturant,12.957,77.5637,2
CustomeResturant,12.957,77.5637,2
CustomeResturant,12.957,77.5637,2
CustomeResturant,12.8652,77.524,2
CustomeResturant,12.9698,77.75,2
CustomeResturant,12.9889,77.5741,2
CustomeResturant,12.9889,77.5741,2
CustomeResturant,12.9925,77.5633,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.9757,77.5586,2
CustomeResturant,12.9757,77.5586,2
CustomeResturant,13.0487,77.5923,2
CustomeResturant,13.0487,77.5923,2
CustomeResturant,12.9662,77.6068,2
CustomeResturant,12.9662,77.6068,2
CustomeResturant,12.9343,77.6044,2
CustomeResturant,12.9343,77.6044,2
CustomeResturant,12.9343,77.6044,2
CustomeResturant,12.9442,77.6076,2
CustomeResturant,12.9442,77.6076,2
CustomeResturant,12.9442,77.6076,2
CustomeResturant,13.0298,77.6047,2
CustomeResturant,12.9261,77.6221,2
CustomeResturant,12.9621,77.5376,2
CustomeResturant,12.8845,77.6036,2
CustomeResturant,12.9048,77.6821,2
CustomeResturant,12.9048,77.6821,2
CustomeResturant,12.9261,77.6221,2
CustomeResturant,12.9261,77.6221,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.9783,77.6408,2
CustomeResturant,12.9783,77.6408,2
CustomeResturant,12.9217,77.5936,2
CustomeResturant,13.0206,77.6479,2
CustomeResturant,13.0012,77.5995,2
CustomeResturant,13.0223,77.7132,2
CustomeResturant,12.9337,77.59,2
CustomeResturant,12.982,77.6256,2
CustomeResturant,13.0262,77.62,2
CustomeResturant,12.9217,77.5936,2
CustomeResturant,13.0078,77.5577,2
CustomeResturant,13.0078,77.5577,2
CustomeResturant,12.9217,77.5936,2
CustomeResturant,12.9105,77.4842,2
CustomeResturant,12.9105,77.4842,2
CustomeResturant,12.9037,77.5376,2
CustomeResturant,12.8834,77.5486,2
CustomeResturant,12.9149,77.5635,2
CustomeResturant,12.9149,77.5635,2
CustomeResturant,12.9706,77.6529,2
CustomeResturant,12.9706,77.6529,2
CustomeResturant,12.9706,77.6529,2
CustomeResturant,12.8845,77.6036,2
CustomeResturant,12.9783,77.6408,2
CustomeResturant,13.0103,77.5796,2
CustomeResturant,13.0103,77.5796,2
CustomeResturant,12.9306,77.5434,2
CustomeResturant,13.0641,77.5931,2
CustomeResturant,13.0158,77.539,2
CustomeResturant,12.9561,77.5921,2
CustomeResturant,12.8845,77.6036,2
CustomeResturant,12.9369,77.6407,2
CustomeResturant,12.9369,77.6407,2
CustomeResturant,12.9369,77.6407,2
CustomeResturant,12.9369,77.6407,2
CustomeResturant,13.0158,77.539,2
CustomeResturant,13.0809,77.5565,2
CustomeResturant,13.0641,77.5931,2
CustomeResturant,12.9859,77.6713,2
CustomeResturant,12.9859,77.6713,2
CustomeResturant,12.9866,77.4904,2
CustomeResturant,12.9847,77.5491,2
CustomeResturant,12.9847,77.5491,2
CustomeResturant,12.9847,77.5491,2
CustomeResturant,12.9299,77.6848,2
CustomeResturant,12.9299,77.6848,2
CustomeResturant,12.9828,77.6131,2
CustomeResturant,12.989,77.5332,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.9251,77.4992,2
CustomeResturant,12.9967,77.7582,2
CustomeResturant,12.9967,77.7582,2
CustomeResturant,12.9967,77.7582,2
CustomeResturant,12.957,77.5637,2
CustomeResturant,12.957,77.5637,2
CustomeResturant,12.9889,77.5741,2
CustomeResturant,13.0206,77.6479,2
CustomeResturant,12.8893,77.6399,2
CustomeResturant,12.8893,77.6399,2
CustomeResturant,12.9967,77.7582,2
CustomeResturant,12.9783,77.6408,2
CustomeResturant,12.9783,77.6408,2
CustomeResturant,12.9925,77.5633,2
CustomeResturant,12.9925,77.5633,2
CustomeResturant,12.9561,77.5921,2
CustomeResturant,12.9561,77.5921,2
CustomeResturant,13.0734,77.5464,2
CustomeResturant,13.0487,77.5923,2
CustomeResturant,12.9515,77.4921,2
CustomeResturant,12.9515,77.4921,2
CustomeResturant,12.9719,77.5128,2
CustomeResturant,12.9048,77.6821,2
CustomeResturant,12.9048,77.6821,2
CustomeResturant,13.0103,77.5796,2
CustomeResturant,13.0103,77.5796,2
CustomeResturant,12.8893,77.6399,2
CustomeResturant,12.9828,77.6131,2
CustomeResturant,12.9757,77.5586,2
CustomeResturant,12.9757,77.5586,2
